YEAR,TRIP_NO,SELL_DATE,SPECIMEN_NO,LENGTH_MILLIMETERS,WEIGHT_KILOGRAMS,GIRTH_MILLIMETERS
2019,106,2019-09-08T08:00:00Z,7,730,4,352
2019,106,2019-09-08T08:00:00Z,8,850,6.6000000000000005,420
2019,106,2019-09-08T08:00:00Z,9,630,2.5,308
2019,108,2019-09-10T08:00:00Z,1,690,4,386
2019,108,2019-09-10T08:00:00Z,2,660,3.3000000000000003,345
2019,108,2019-09-10T08:00:00Z,3,630,2.8000000000000003,331
2019,108,2019-09-10T08:00:00Z,4,690,3.6,347
2019,108,2019-09-10T08:00:00Z,5,650,2.7,320
2019,108,2019-09-10T08:00:00Z,6,590,2.3000000000000003,298
2019,108,2019-09-10T08:00:00Z,7,740,4.1,365
2019,108,2019-09-10T08:00:00Z,9,850,6.4,410
2019,108,2019-09-10T08:00:00Z,10,730,4.4,373
2019,108,2019-09-10T08:00:00Z,11,740,4.7,388
2019,108,2019-09-10T08:00:00Z,12,760,4.6000000000000005,375
2019,108,2019-09-10T08:00:00Z,13,700,3.5,338
2019,108,2019-09-10T08:00:00Z,14,590,2.2,293
2019,108,2019-09-10T08:00:00Z,15,780,4.6000000000000005,365
2019,108,2019-09-10T08:00:00Z,16,840,6.9,437
2019,108,2019-09-10T08:00:00Z,17,760,4.8,380
2019,108,2019-09-10T08:00:00Z,19,810,5.4,391
2019,108,2019-09-10T08:00:00Z,20,670,3,322
2019,108,2019-09-10T08:00:00Z,21,580,2,286
2019,108,2019-09-10T08:00:00Z,22,650,3.2,338
2019,108,2019-09-10T08:00:00Z,23,560,1.9000000000000001,285
2019,108,2019-09-10T08:00:00Z,24,690,3.8000000000000003,360
2019,108,2019-09-10T08:00:00Z,25,650,3.1,338
2019,108,2019-09-10T08:00:00Z,26,700,3.9,371
2019,110,2019-09-11T08:00:00Z,1,670,3.1,327
2019,110,2019-09-11T08:00:00Z,2,710,3.7,342
2019,110,2019-09-11T08:00:00Z,3,760,4.8,381
2019,110,2019-09-11T08:00:00Z,4,680,3.4,345
2019,110,2019-09-11T08:00:00Z,5,710,3.4,335
2019,110,2019-09-11T08:00:00Z,6,670,3.5,346
2019,110,2019-09-11T08:00:00Z,7,640,3.2,323
2019,110,2019-09-11T08:00:00Z,8,710,3.8000000000000003,344
2019,110,2019-09-11T08:00:00Z,9,710,3.9,346
2019,110,2019-09-11T08:00:00Z,10,840,5.5,370
2019,111,2019-09-16T08:00:00Z,7,690,3.5,330
2019,111,2019-09-16T08:00:00Z,8,830,6,412
2019,111,2019-09-16T08:00:00Z,10,660,2.9,319
2019,111,2019-09-16T08:00:00Z,11,830,6.1000000000000005,420
2019,111,2019-09-16T08:00:00Z,14,710,3.9,362
2019,111,2019-09-16T08:00:00Z,15,630,2.6,308
2019,111,2019-09-16T08:00:00Z,16,680,3.5,348
2019,111,2019-09-16T08:00:00Z,27,650,3,329
2019,111,2019-09-16T08:00:00Z,37,600,2,282
2019,111,2019-09-16T08:00:00Z,38,640,2.6,302
2019,111,2019-09-16T08:00:00Z,40,630,3,343
2019,111,2019-09-16T08:00:00Z,44,880,7.1000000000000005,452
2019,111,2019-09-16T08:00:00Z,50,610,2.7,324
2019,111,2019-09-16T08:00:00Z,51,770,5.1000000000000005,387
2019,111,2019-09-16T08:00:00Z,52,750,4.4,364
2019,111,2019-09-16T08:00:00Z,54,690,3.9,355
2019,111,2019-09-16T08:00:00Z,55,640,2.8000000000000003,325
2019,111,2019-09-16T08:00:00Z,56,760,4.8,377
2019,111,2019-09-16T08:00:00Z,57,720,3.9,343
2019,111,2019-09-16T08:00:00Z,60,770,4.5,378
2019,111,2019-09-16T08:00:00Z,61,850,7.1000000000000005,460
2019,111,2019-09-16T08:00:00Z,68,690,3.6,357
2019,111,2019-09-16T08:00:00Z,76,830,6,415
2019,111,2019-09-16T08:00:00Z,79,730,4.1,359
2019,111,2019-09-16T08:00:00Z,85,730,4.1,369
2019,111,2019-09-16T08:00:00Z,86,610,2.5,317
2019,111,2019-09-16T08:00:00Z,88,1170,17.8,591
2019,112,2019-09-18T08:00:00Z,1,870,7.8500000000000005,471
2019,112,2019-09-18T08:00:00Z,2,720,3.5500000000000003,338
2019,112,2019-09-18T08:00:00Z,3,660,3.08,330
2019,112,2019-09-18T08:00:00Z,4,560,1.72,267
2019,112,2019-09-18T08:00:00Z,5,740,3.86,340
2019,112,2019-09-18T08:00:00Z,6,750,4.14,378
2019,112,2019-09-18T08:00:00Z,7,640,3.0300000000000002,343
2019,112,2019-09-18T08:00:00Z,8,720,4.12,364
2019,112,2019-09-18T08:00:00Z,9,650,2.82,322
2019,112,2019-09-18T08:00:00Z,10,900,9.85,533
2019,112,2019-09-18T08:00:00Z,52,680,3.35,358
2019,112,2019-09-18T08:00:00Z,53,680,3.2800000000000002,342
2019,112,2019-09-18T08:00:00Z,54,640,2.7800000000000002,321
2019,112,2019-09-18T08:00:00Z,55,600,2.19,280
2019,112,2019-09-18T08:00:00Z,56,680,3.25,370
2019,112,2019-09-18T08:00:00Z,57,840,6.140000000000001,435
2019,112,2019-09-18T08:00:00Z,58,840,6.51,423
2019,112,2019-09-18T08:00:00Z,59,660,3.12,326
2019,112,2019-09-18T08:00:00Z,60,700,4.1,364
2019,112,2019-09-18T08:00:00Z,61,670,3.67,356
2019,113,2019-09-18T08:00:00Z,1,690,3.99,365
2019,113,2019-09-18T08:00:00Z,2,700,4,364
2019,113,2019-09-18T08:00:00Z,3,720,4.46,392
2019,113,2019-09-18T08:00:00Z,4,870,7.36,442
2019,113,2019-09-18T08:00:00Z,5,670,3.5700000000000003,359
2019,113,2019-09-18T08:00:00Z,6,660,3.12,312
2019,113,2019-09-18T08:00:00Z,7,670,3.31,336
2019,113,2019-09-18T08:00:00Z,8,690,3.92,370
2019,113,2019-09-18T08:00:00Z,9,660,3.3200000000000003,341
2019,113,2019-09-18T08:00:00Z,10,920,10.19,531
2019,113,2019-09-18T08:00:00Z,21,810,6.3500000000000005,409
