YEAR,EFFORT_NO,LENGTH_MILLIMETERS,WEIGHT_KILOGRAMS,GIRTH_MILLIMETERS,POT_TREATMENT_CODE,POT_TREATMENT
2019,1,670,3.16,345,00,4 inch ring
2019,1,640,5.3,340,00,4 inch ring
2019,1,630,4.2,290,00,4 inch ring
2019,1,660,3.45,325,00,4 inch ring
2019,1,610,2.8000000000000003,310,00,4 inch ring
2019,1,680,5.3,365,00,4 inch ring
2019,1,610,3.2,306,00,4 inch ring
2019,1,610,3.8000000000000003,320,00,4 inch ring
2019,1,580,NA,NA,00,4 inch ring
2019,1,590,NA,NA,00,4 inch ring
2019,1,630,NA,NA,00,4 inch ring
2019,1,610,NA,NA,00,4 inch ring
2019,1,590,NA,NA,00,4 inch ring
2019,1,630,NA,NA,00,4 inch ring
2019,1,590,NA,NA,00,4 inch ring
2019,1,640,NA,NA,00,4 inch ring
2019,1,590,NA,NA,00,4 inch ring
2019,1,640,NA,NA,00,4 inch ring
2019,1,610,NA,NA,00,4 inch ring
2019,1,640,NA,NA,00,4 inch ring
2019,1,570,NA,NA,00,4 inch ring
2019,1,600,NA,NA,00,4 inch ring
2019,1,600,NA,NA,00,4 inch ring
2019,1,570,NA,NA,00,4 inch ring
2019,1,580,2.3000000000000003,305,01,3.75 inch ring
2019,1,670,3.56,340,01,3.75 inch ring
2019,1,600,2.48,310,01,3.75 inch ring
2019,1,650,NA,NA,01,3.75 inch ring
2019,1,670,NA,NA,01,3.75 inch ring
2019,1,620,NA,NA,01,3.75 inch ring
2019,1,670,NA,NA,01,3.75 inch ring
2019,1,620,NA,NA,01,3.75 inch ring
2019,1,510,NA,NA,01,3.75 inch ring
2019,1,610,NA,NA,01,3.75 inch ring
2019,1,560,NA,NA,01,3.75 inch ring
2019,1,630,NA,NA,02,3.5 inch ring
2019,1,630,NA,NA,02,3.5 inch ring
2019,1,610,NA,NA,02,3.5 inch ring
2019,1,550,NA,NA,02,3.5 inch ring
2019,1,610,NA,NA,02,3.5 inch ring
2019,1,650,NA,NA,02,3.5 inch ring
2019,1,640,NA,NA,02,3.5 inch ring
2019,1,670,NA,NA,02,3.5 inch ring
2019,1,630,NA,NA,02,3.5 inch ring
2019,1,610,NA,NA,02,3.5 inch ring
2019,1,620,NA,NA,02,3.5 inch ring
2019,1,540,NA,NA,02,3.5 inch ring
2019,1,590,NA,NA,02,3.5 inch ring
2019,1,570,NA,NA,02,3.5 inch ring
2019,1,660,NA,NA,02,3.5 inch ring
2019,1,580,NA,NA,02,3.5 inch ring
2019,1,590,NA,NA,02,3.5 inch ring
2019,1,610,NA,NA,02,3.5 inch ring
2019,1,590,NA,NA,02,3.5 inch ring
2019,1,620,NA,NA,02,3.5 inch ring
2019,1,600,NA,NA,02,3.5 inch ring
2019,1,620,NA,NA,02,3.5 inch ring
2019,1,630,NA,NA,02,3.5 inch ring
2019,1,640,NA,NA,02,3.5 inch ring
2019,1,620,NA,NA,02,3.5 inch ring
2019,1,600,NA,NA,02,3.5 inch ring
2019,1,660,NA,NA,02,3.5 inch ring
2019,1,600,NA,NA,02,3.5 inch ring
2019,1,600,NA,NA,02,3.5 inch ring
2019,1,680,NA,NA,02,3.5 inch ring
2019,1,650,NA,NA,99,Control (no ring)
2019,1,650,NA,NA,99,Control (no ring)
2019,1,580,2.34,310,99,Control (no ring)
2019,1,700,3.85,370,99,Control (no ring)
2019,1,590,2.25,300,99,Control (no ring)
2019,1,690,NA,NA,99,Control (no ring)
2019,1,580,2.3000000000000003,310,99,Control (no ring)
2019,1,680,NA,NA,99,Control (no ring)
2019,1,640,NA,NA,99,Control (no ring)
2019,1,570,NA,NA,99,Control (no ring)
2019,1,590,NA,NA,99,Control (no ring)
2019,1,650,NA,NA,99,Control (no ring)
2019,1,590,NA,NA,99,Control (no ring)
2019,1,560,NA,NA,99,Control (no ring)
2019,1,590,NA,NA,99,Control (no ring)
2019,1,630,NA,NA,99,Control (no ring)
2019,1,560,NA,NA,99,Control (no ring)
2019,1,560,NA,NA,99,Control (no ring)
2019,1,570,NA,NA,99,Control (no ring)
2019,1,560,NA,NA,99,Control (no ring)
2019,1,600,NA,NA,99,Control (no ring)
2019,1,530,1.6600000000000001,260,99,Control (no ring)
2019,1,810,5.42,365,99,Control (no ring)
2019,1,600,NA,NA,00,4 inch ring
2019,1,690,NA,NA,00,4 inch ring
2019,1,620,NA,NA,00,4 inch ring
2019,1,590,NA,NA,00,4 inch ring
2019,1,610,NA,NA,00,4 inch ring
2019,1,590,NA,NA,00,4 inch ring
2019,1,600,NA,NA,00,4 inch ring
2019,1,660,NA,NA,00,4 inch ring
2019,1,630,NA,NA,00,4 inch ring
2019,1,630,NA,NA,00,4 inch ring
2019,1,540,2.1,270,00,4 inch ring
2019,1,670,NA,NA,00,4 inch ring
2019,1,620,NA,NA,00,4 inch ring
2019,1,570,NA,NA,00,4 inch ring
2019,1,590,NA,NA,00,4 inch ring
2019,1,600,NA,NA,00,4 inch ring
2019,1,490,1.35,235,00,4 inch ring
2019,1,610,NA,NA,00,4 inch ring
2019,1,550,1.85,290,01,3.75 inch ring
2019,1,560,NA,NA,01,3.75 inch ring
2019,1,640,NA,NA,01,3.75 inch ring
2019,1,570,NA,NA,01,3.75 inch ring
2019,1,620,NA,NA,01,3.75 inch ring
2019,1,650,NA,NA,01,3.75 inch ring
2019,1,580,NA,NA,01,3.75 inch ring
2019,1,650,NA,NA,01,3.75 inch ring
2019,1,570,NA,NA,01,3.75 inch ring
2019,1,580,NA,NA,01,3.75 inch ring
2019,1,610,NA,NA,01,3.75 inch ring
2019,1,600,NA,NA,02,3.5 inch ring
2019,1,630,NA,NA,02,3.5 inch ring
2019,1,650,NA,NA,02,3.5 inch ring
2019,1,630,NA,NA,02,3.5 inch ring
2019,1,630,NA,NA,02,3.5 inch ring
2019,1,620,NA,NA,02,3.5 inch ring
2019,1,630,NA,NA,02,3.5 inch ring
2019,1,620,NA,NA,02,3.5 inch ring
2019,1,610,NA,NA,02,3.5 inch ring
2019,1,620,NA,NA,02,3.5 inch ring
2019,1,670,NA,NA,02,3.5 inch ring
2019,1,610,NA,NA,02,3.5 inch ring
2019,1,670,NA,NA,02,3.5 inch ring
2019,1,590,NA,NA,02,3.5 inch ring
2019,1,610,NA,NA,02,3.5 inch ring
2019,1,680,NA,NA,02,3.5 inch ring
2019,1,590,NA,NA,02,3.5 inch ring
2019,1,620,NA,NA,02,3.5 inch ring
2019,1,620,NA,NA,02,3.5 inch ring
2019,1,610,NA,NA,02,3.5 inch ring
2019,1,630,NA,NA,02,3.5 inch ring
2019,1,560,NA,NA,02,3.5 inch ring
2019,1,590,NA,NA,02,3.5 inch ring
2019,1,600,NA,NA,02,3.5 inch ring
2019,1,620,NA,NA,99,Control (no ring)
2019,1,600,NA,NA,99,Control (no ring)
2019,1,650,NA,NA,99,Control (no ring)
2019,1,630,NA,NA,99,Control (no ring)
2019,1,530,1.81,275,99,Control (no ring)
2019,1,650,NA,NA,99,Control (no ring)
2019,1,580,NA,NA,99,Control (no ring)
2019,1,590,NA,NA,99,Control (no ring)
2019,1,610,NA,NA,99,Control (no ring)
2019,1,570,NA,NA,99,Control (no ring)
2019,1,570,NA,NA,99,Control (no ring)
2019,1,590,NA,NA,99,Control (no ring)
2019,1,600,NA,NA,99,Control (no ring)
2019,1,610,NA,NA,99,Control (no ring)
2019,1,630,NA,NA,99,Control (no ring)
2019,1,590,NA,NA,00,4 inch ring
2019,1,590,NA,NA,01,3.75 inch ring
2019,1,660,NA,NA,01,3.75 inch ring
2019,1,600,NA,NA,01,3.75 inch ring
