YEAR,PROJECT_CODE,PROJECT,TRIP_NO,TARGET_SPECIES_CODE,ADFG_NO,VESSEL_NAME,EFFORT_NO,G_STAT_AREA,START_LATITUDE_DECIMAL_DEGREES,START_LONGITUDE_DECIMAL_DEGREE,END_LATITUDE_DECIMAL_DEGREES,END_LONGITUDE_DECIMAL_DEGREES,TIME_SECOND_ANCHOR_OVERBOARD,TIME_FIRST_ANCHOR_ONBOARD,TIME_SECOND_ANCHOR_ONBOARD,HAUL_BACK_ORDER,POT_TYPE,NUMBER_OF_POTS_RETRIEVED,START_DEPTH_FATHOMS,END_DEPTH_FATHOMS,AVG_DEPTH_FATHOMS,SUBSTRATE_TYPE_CODE,SUBSTRATE_TYPE,NUMBER_OF_POTS_SET,SPECIES_CODE,DISCARD_STATUS_CODE,DISCARD_STATUS,NUMBERS,POT_COMMENTS
2019,11,Chatham Sablefish Pot Survey,1,710,NA,MEDEIA,1,345803,58.368500000000004,-135.005583,58.334283,-135.002817,2019-05-13T08:00:00Z,2019-05-14T08:00:00Z,2019-05-14T08:00:00Z,Opposite,Cone,40,334,269,298,00,Unknown,40,710,02,"Discarded, not marketable",5,Pollock/Squid
2019,11,Chatham Sablefish Pot Survey,1,710,NA,MEDEIA,1,345803,58.368500000000004,-135.005583,58.334283,-135.002817,2019-05-13T08:00:00Z,2019-05-14T08:00:00Z,2019-05-14T08:00:00Z,Opposite,Cone,40,334,269,298,00,Unknown,40,710,05,Tagged and released,552,Pollock/Squid
2019,11,Chatham Sablefish Pot Survey,1,710,NA,MEDEIA,1,345803,58.368500000000004,-135.005583,58.334283,-135.002817,2019-05-13T08:00:00Z,2019-05-14T08:00:00Z,2019-05-14T08:00:00Z,Opposite,Cone,40,334,269,298,00,Unknown,40,710,09,Released; already tagged by ADFG,1,Pollock/Squid
2019,11,Chatham Sablefish Pot Survey,1,710,NA,MEDEIA,1,345803,58.368500000000004,-135.005583,58.334283,-135.002817,2019-05-13T08:00:00Z,2019-05-14T08:00:00Z,2019-05-14T08:00:00Z,Opposite,Cone,40,334,269,298,00,Unknown,40,710,10,Discarded due to fleas,1,Pollock/Squid
2019,11,Chatham Sablefish Pot Survey,1,710,NA,MEDEIA,2,345803,58.245383,-134.990833,58.212717,-134.9771,2019-05-14T08:00:00Z,2019-05-15T08:00:00Z,2019-05-15T08:00:00Z,Same,Cone,40,336,373,358,01,Mud,40,710,02,"Discarded, not marketable",1,NA
2019,11,Chatham Sablefish Pot Survey,1,710,NA,MEDEIA,2,345803,58.245383,-134.990833,58.212717,-134.9771,2019-05-14T08:00:00Z,2019-05-15T08:00:00Z,2019-05-15T08:00:00Z,Same,Cone,40,336,373,358,01,Mud,40,710,04,Lost,1,NA
2019,11,Chatham Sablefish Pot Survey,1,710,NA,MEDEIA,2,345803,58.245383,-134.990833,58.212717,-134.9771,2019-05-14T08:00:00Z,2019-05-15T08:00:00Z,2019-05-15T08:00:00Z,Same,Cone,40,336,373,358,01,Mud,40,710,05,Tagged and released,462,NA
2019,11,Chatham Sablefish Pot Survey,1,710,NA,MEDEIA,2,345803,58.245383,-134.990833,58.212717,-134.9771,2019-05-14T08:00:00Z,2019-05-15T08:00:00Z,2019-05-15T08:00:00Z,Same,Cone,40,336,373,358,01,Mud,40,710,09,Released; already tagged by ADFG,4,NA
2019,11,Chatham Sablefish Pot Survey,1,710,NA,MEDEIA,2,345803,58.245383,-134.990833,58.212717,-134.9771,2019-05-14T08:00:00Z,2019-05-15T08:00:00Z,2019-05-15T08:00:00Z,Same,Cone,40,336,373,358,01,Mud,40,710,17,"Discarded, numbers were estimated",129,NA
2019,11,Chatham Sablefish Pot Survey,1,710,NA,MEDEIA,3,345731,57.903133,-134.836483,57.868382999999994,-134.833167,2019-05-15T08:00:00Z,2019-05-16T08:00:00Z,2019-05-16T08:00:00Z,Same,Cone,40,275,286,278,01,Mud,40,710,02,"Discarded, not marketable",9,NA
