set,pot,depth,n_sablefish,disposition,treatment
1,1,334,8,tagged,Blue
1,2,332,47,tagged,Purple
1,3,328,11,tagged,Green
1,4,325,5,tagged,Yellow
1,5,322,38,tagged,Blue
1,6,319,21,tagged,Purple
1,7,317,9,tagged,Green
1,8,316,9,tagged,Yellow
1,9,315,19,tagged,Blue
1,10,314,2,tagged,Purple
1,11,313,14,tagged,Green
1,12,313,3,tagged,Yellow
1,13,313,27,tagged,Blue
1,14,314,2,tagged,Purple
1,15,314,7,tagged,Green
1,16,316,6,tagged,Yellow
1,17,319,36,tagged,Blue
1,18,323,17,tagged,Purple
1,19,322,3,tagged,Green
1,20,320,3,tagged,Yellow
1,21,311,9,tagged,Blue
1,22,302,0,tagged,Purple
1,23,300,8,tagged,Green
1,24,298,5,tagged,Yellow
1,25,297,18,tagged,Blue
1,26,291,14,tagged,Purple
1,27,286,6,tagged,Green
1,28,288,11,tagged,Yellow
1,29,272,21,tagged,Blue
1,30,279,9,tagged,Purple
1,31,262,7,tagged,Green
1,32,258,1,tagged,Yellow
1,33,256,15,tagged,Blue
1,34,257,24,tagged,Purple
1,35,257,11,tagged,Green
1,36,254,18,tagged,Yellow
1,37,257,23,tagged,Blue
1,38,260,30,tagged,Purple
1,39,261,11,tagged,Green
1,40,268,24,tagged,Yellow
2,1,336,28,tagged,Blue
2,2,337,16,tagged,Purple
2,3,338,7,tagged,Green
2,4,338,5,tagged,Yellow
2,5,339,19,tagged,Blue
2,6,340,10,tagged,Purple
2,7,340,10,tagged,Green
2,8,341,8,tagged,Yellow
2,9,342,40,tagged,Blue
2,10,343,10,tagged,Purple
2,11,344,17,tagged,Green
2,12,345,11,tagged,Yellow
2,13,347,23,tagged,Blue
2,14,348,28,tagged,Purple
2,15,349,13,tagged,Green
2,16,350,5,tagged,Yellow
2,17,351,29,tagged,Blue
2,18,353,9,tagged,Purple
2,19,355,8,tagged,Green
2,20,357,5,tagged,Yellow
2,21,358,15,tagged,Blue
2,22,360,24,tagged,Purple
2,23,361,16,tagged,Green
2,24,363,8,tagged,Yellow
2,25,365,41,tagged,Blue
2,26,367,12,tagged,Purple
2,27,368,9,tagged,Green
2,28,370,10,tagged,Yellow
2,29,371,15,tagged,Blue
2,30,373,11,tagged,Purple
2,31,375,24,not_tagged,Green
2,32,375,15,not_tagged,Yellow
2,33,376,14,not_tagged,Blue
2,34,376,25,not_tagged,Purple
2,35,376,11,not_tagged,Green
2,36,376,15,not_tagged,Yellow
2,37,376,5,not_tagged,Blue
2,38,376,10,not_tagged,Purple
2,39,375,8,not_tagged,Green
2,40,373,2,not_tagged,Yellow
3,1,271,7,tagged,Yellow
3,2,266,2,tagged,Green
3,3,263,2,tagged,Purple
3,4,264,7,tagged,Blue
3,5,262,2,tagged,Yellow
3,6,263,4,tagged,Green
3,7,264,2,tagged,Purple
3,8,266,10,tagged,Blue
3,9,267,0,tagged,Yellow
3,10,270,11,tagged,Green
3,11,274,18,tagged,Purple
3,12,278,20,tagged,Blue
3,13,277,21,tagged,Yellow
3,14,276,21,tagged,Green
3,15,274,12,tagged,Purple
3,16,276,48,tagged,Blue
3,17,277,13,tagged,Yellow
3,18,277,10,tagged,Green
3,19,278,33,tagged,Purple
3,20,279,19,tagged,Blue
3,21,280,13,tagged,Yellow
3,22,281,12,tagged,Green
3,23,282,11,tagged,Purple
3,24,283,42,tagged,Blue
3,25,283,3,tagged,Yellow
3,26,284,12,tagged,Green
3,27,285,23,tagged,Purple
3,28,286,51,tagged,Blue
3,29,286,6,tagged,Yellow
3,30,286,13,tagged,Green
3,31,288,12,tagged,Purple
3,32,288,29,tagged,Blue
3,33,288,11,tagged,Yellow
3,34,289,15,tagged,Green
3,35,288,31,tagged,Purple
3,36,288,24,tagged,Blue
3,37,288,21,tagged,Yellow
3,38,286,16,tagged,Green
3,39,286,31,tagged,Purple
3,40,286,56,tagged,Blue
4,1,301,27,tagged,Blue
4,2,304,17,tagged,Purple
4,3,302,14,tagged,Green
4,4,302,8,tagged,Yellow
4,5,302,12,tagged,Blue
4,6,300,20,tagged,Purple
4,7,301,13,tagged,Green
4,8,300,10,tagged,Yellow
4,9,300,35,tagged,Blue
4,10,300,26,tagged,Purple
4,11,297,12,tagged,Green
4,12,299,14,tagged,Yellow
4,13,298,17,tagged,Blue
4,14,298,15,tagged,Purple
4,15,298,20,tagged,Green
4,16,299,14,tagged,Yellow
4,17,300,21,tagged,Blue
4,18,300,34,tagged,Purple
4,19,299,25,tagged,Green
4,20,298,29,tagged,Yellow
4,21,299,22,tagged,Blue
4,22,298,12,tagged,Purple
4,23,290,14,tagged,Green
4,24,290,36,tagged,Yellow
4,25,289,27,tagged,Blue
4,26,288,26,tagged,Purple
4,27,288,21,tagged,Green
4,28,287,26,tagged,Yellow
4,29,285,38,tagged,Blue
4,30,286,29,tagged,Purple
4,31,287,24,not_tagged,Green
4,32,286,16,not_tagged,Yellow
4,33,289,20,not_tagged,Blue
4,34,288,24,not_tagged,Purple
4,35,288,17,not_tagged,Green
4,36,289,18,not_tagged,Yellow
4,37,282,32,not_tagged,Blue
4,38,284,20,not_tagged,Purple
4,39,284,11,not_tagged,Green
4,40,283,10,not_tagged,Yellow
5,1,297,17,tagged,Yellow
5,2,298,13,tagged,Green
5,3,299,30,tagged,Purple
5,4,300,57,tagged,Blue
5,5,301,24,tagged,Yellow
5,6,302,12,tagged,Green
5,7,304,28,tagged,Purple
5,8,306,87,tagged,Blue
5,9,308,9,tagged,Yellow
5,10,309,18,tagged,Green
5,11,312,23,tagged,Purple
5,12,316,55,tagged,Blue
5,13,319,12,tagged,Yellow
5,14,322,15,tagged,Green
5,15,324,28,tagged,Purple
5,16,324,51,tagged,Blue
5,17,324,18,tagged,Yellow
5,18,324,16,tagged,Green
5,19,323,23,tagged,Purple
5,20,322,96,tagged,Blue
5,21,322,16,tagged,Yellow
5,22,321,32,tagged,Green
5,23,322,25,tagged,Purple
5,24,322,22,tagged,Blue
5,25,322,6,tagged,Yellow
5,26,322,13,tagged,Green
5,27,321,14,tagged,Purple
5,28,320,63,tagged,Blue
5,29,320,13,tagged,Yellow
5,30,319,29,tagged,Green
5,31,318,23,not_tagged,Purple
5,32,318,45,not_tagged,Blue
5,33,317,18,not_tagged,Yellow
5,34,317,46,not_tagged,Green
5,35,316,37,not_tagged,Purple
5,36,316,50,not_tagged,Blue
5,37,315,19,not_tagged,Yellow
5,38,315,17,not_tagged,Green
5,39,315,39,not_tagged,Purple
5,40,315,32,not_tagged,Blue
6,1,294,70,tagged,Blue
6,2,294,26,tagged,Purple
6,3,295,13,tagged,Green
6,4,295,12,tagged,Yellow
6,5,294,35,tagged,Blue
6,6,294,49,tagged,Purple
6,7,293,14,tagged,Green
6,8,292,23,tagged,Yellow
6,9,292,67,tagged,Blue
6,10,291,51,tagged,Purple
6,11,291,29,tagged,Green
6,12,291,33,tagged,Yellow
6,13,292,42,tagged,Blue
6,14,292,35,tagged,Purple
6,15,293,24,tagged,Green
6,16,294,10,tagged,Yellow
6,17,297,49,tagged,Blue
6,18,299,23,tagged,Purple
6,19,301,12,tagged,Green
6,20,305,14,tagged,Yellow
6,21,307,36,tagged,Blue
6,22,311,22,tagged,Purple
6,23,316,13,tagged,Green
6,24,319,10,tagged,Yellow
6,25,322,37,tagged,Blue
6,26,322,52,tagged,Purple
6,27,321,14,tagged,Green
6,28,318,9,tagged,Yellow
6,29,315,47,not_tagged,Blue
6,30,313,35,not_tagged,Purple
6,31,311,47,not_tagged,Green
6,32,309,13,not_tagged,Yellow
6,33,308,60,not_tagged,Blue
6,34,308,63,not_tagged,Purple
6,35,307,22,not_tagged,Green
6,36,307,16,not_tagged,Yellow
6,37,307,53,not_tagged,Blue
6,38,307,46,not_tagged,Purple
6,39,307,30,not_tagged,Green
6,40,308,45,not_tagged,Yellow
7,1,383,5,tagged,Yellow
7,2,381,12,tagged,Green
7,3,380,17,tagged,Purple
7,4,377,14,tagged,Blue
7,5,375,2,tagged,Yellow
7,6,374,27,tagged,Green
7,7,373,13,tagged,Purple
7,8,373,12,tagged,Blue
7,9,373,23,tagged,Yellow
7,10,372,45,tagged,Green
7,11,371,10,tagged,Purple
7,12,368,70,tagged,Blue
7,13,367,21,tagged,Yellow
7,14,366,38,tagged,Green
7,15,366,25,tagged,Purple
7,16,365,55,tagged,Blue
7,17,365,1,tagged,Yellow
7,18,365,46,tagged,Green
7,19,365,21,tagged,Purple
7,20,365,51,tagged,Blue
7,21,365,11,tagged,Yellow
7,22,365,22,tagged,Green
7,23,365,25,tagged,Purple
7,24,365,55,tagged,Blue
7,25,364,15,tagged,Yellow
7,26,364,23,tagged,Green
7,27,363,5,tagged,Purple
7,28,363,29,tagged,Blue
7,29,363,14,tagged,Yellow
7,30,363,30,tagged,Green
7,31,364,22,not_tagged,Purple
7,32,366,30,not_tagged,Blue
7,33,368,21,not_tagged,Yellow
7,34,369,39,not_tagged,Green
7,35,371,24,not_tagged,Purple
7,36,370,22,not_tagged,Blue
7,37,369,33,not_tagged,Yellow
7,38,367,15,not_tagged,Green
7,39,367,23,not_tagged,Purple
7,40,366,46,not_tagged,Blue
8,1,338,82,not_tagged,Blue
8,2,338,27,not_tagged,Purple
8,3,338,16,not_tagged,Green
8,4,338,30,not_tagged,Yellow
8,5,338,76,not_tagged,Blue
8,6,337,42,not_tagged,Purple
8,7,336,0,not_tagged,Green
8,8,336,31,not_tagged,Yellow
8,9,336,41,not_tagged,Blue
8,10,335,15,not_tagged,Purple
8,11,336,28,not_tagged,Green
8,12,335,12,not_tagged,Yellow
8,13,335,42,not_tagged,Blue
8,14,335,45,not_tagged,Purple
8,15,334,22,not_tagged,Green
8,16,334,34,not_tagged,Yellow
8,17,334,58,not_tagged,Blue
8,18,333,38,not_tagged,Purple
8,19,333,25,not_tagged,Green
8,20,333,24,not_tagged,Yellow
8,21,333,17,not_tagged,Blue
8,22,332,37,not_tagged,Purple
8,23,332,17,not_tagged,Green
8,24,332,51,tagged,Yellow
8,25,331,88,tagged,Blue
8,26,331,29,tagged,Purple
8,27,331,41,tagged,Green
8,28,330,43,tagged,Yellow
8,29,330,34,tagged,Blue
8,30,330,46,tagged,Purple
8,31,329,77,tagged,Green
8,32,329,28,tagged,Yellow
8,33,328,95,tagged,Blue
8,34,328,30,tagged,Purple
8,35,328,21,tagged,Green
8,36,327,32,tagged,Yellow
8,37,327,46,tagged,Blue
8,38,327,49,tagged,Purple
8,39,327,24,tagged,Green
8,40,327,56,tagged,Yellow
9,1,355,63,tagged,Blue
9,2,354,4,tagged,Purple
9,3,353,2,tagged,Green
9,4,353,15,tagged,Yellow
9,5,352,41,tagged,Blue
9,6,352,9,tagged,Purple
9,7,351,5,tagged,Green
9,8,351,12,tagged,Yellow
9,9,351,30,tagged,Blue
9,10,350,13,tagged,Purple
9,11,350,8,tagged,Green
9,12,349,7,tagged,Yellow
9,13,349,62,tagged,Blue
9,14,348,0,tagged,Purple
9,15,348,11,tagged,Green
9,16,348,12,tagged,Yellow
9,17,348,8,tagged,Blue
9,18,349,0,tagged,Purple
9,19,349,18,tagged,Green
9,20,349,14,tagged,Yellow
9,21,349,2,tagged,Blue
9,22,349,20,tagged,Purple
9,23,349,3,tagged,Green
9,24,349,7,tagged,Yellow
9,25,349,24,tagged,Blue
9,26,349,9,tagged,Purple
9,27,349,9,tagged,Green
9,28,350,1,tagged,Yellow
9,29,350,51,tagged,Blue
9,30,350,14,tagged,Purple
9,31,351,5,tagged,Green
9,32,351,10,tagged,Yellow
9,33,352,55,tagged,Blue
9,34,352,5,tagged,Purple
9,35,353,4,tagged,Green
9,36,353,7,tagged,Yellow
9,37,353,1,not_tagged,Blue
9,38,355,3,not_tagged,Purple
9,39,355,6,not_tagged,Green
9,40,355,3,not_tagged,Yellow
10,1,349,7,tagged,Blue
10,2,350,2,tagged,Purple
10,3,351,0,tagged,Green
10,4,351,0,tagged,Yellow
10,5,351,8,tagged,Blue
10,6,352,37,tagged,Purple
10,7,352,1,tagged,Green
10,8,352,0,tagged,Yellow
10,9,352,1,tagged,Blue
10,10,352,33,tagged,Purple
10,11,353,9,tagged,Green
10,12,354,6,tagged,Yellow
10,13,355,16,tagged,Blue
10,14,356,6,tagged,Purple
10,15,356,5,tagged,Green
10,16,357,2,tagged,Yellow
10,17,358,38,tagged,Blue
10,18,358,11,tagged,Purple
10,19,358,15,tagged,Green
10,20,359,4,tagged,Yellow
10,21,359,9,tagged,Blue
10,22,359,7,tagged,Purple
10,23,359,10,tagged,Green
10,24,360,4,tagged,Yellow
10,25,360,4,tagged,Blue
10,26,360,4,tagged,Purple
10,27,361,11,tagged,Green
10,28,361,13,tagged,Yellow
10,29,361,9,tagged,Blue
10,30,361,6,tagged,Purple
10,31,361,17,tagged,Green
10,32,361,10,tagged,Yellow
10,33,362,2,tagged,Blue
10,34,361,8,tagged,Purple
10,35,361,1,tagged,Green
10,36,361,19,tagged,Yellow
10,37,361,0,tagged,Blue
10,38,361,1,tagged,Purple
10,39,361,5,tagged,Green
10,40,361,7,tagged,Yellow
11,1,336,17,tagged,Yellow
11,2,338,24,tagged,Green
11,3,338,34,tagged,Purple
11,4,338,51,tagged,Blue
11,5,336,50,tagged,Yellow
11,6,336,38,tagged,Green
11,7,336,28,tagged,Purple
11,8,339,67,tagged,Blue
11,9,340,9,tagged,Yellow
11,10,340,63,tagged,Green
11,11,341,55,tagged,Purple
11,12,343,40,tagged,Blue
11,13,343,30,tagged,Yellow
11,14,343,56,tagged,Green
11,15,342,70,tagged,Purple
11,16,343,32,tagged,Blue
11,17,342,3,tagged,Yellow
11,18,342,14,tagged,Green
11,19,341,19,tagged,Purple
11,20,341,62,tagged,Blue
11,21,341,36,not_tagged,Yellow
11,22,340,22,not_tagged,Green
11,23,340,26,not_tagged,Purple
11,24,340,54,not_tagged,Blue
11,25,339,7,not_tagged,Yellow
11,26,339,11,not_tagged,Green
11,27,339,37,not_tagged,Purple
11,28,339,34,not_tagged,Blue
11,29,338,15,not_tagged,Yellow
11,30,336,36,not_tagged,Green
11,31,334,36,not_tagged,Purple
11,32,334,56,not_tagged,Blue
11,33,334,25,not_tagged,Yellow
11,34,334,12,not_tagged,Green
11,35,333,23,not_tagged,Purple
11,36,333,51,not_tagged,Blue
11,37,333,15,not_tagged,Yellow
11,38,333,21,not_tagged,Green
11,39,333,43,not_tagged,Purple
11,40,333,55,not_tagged,Blue
12,1,363,6,not_tagged,Blue
12,2,364,2,not_tagged,Purple
12,3,364,7,not_tagged,Green
12,4,364,14,not_tagged,Yellow
12,5,365,34,not_tagged,Blue
12,6,365,1,not_tagged,Purple
12,7,365,15,not_tagged,Green
12,8,365,9,not_tagged,Yellow
12,9,365,40,not_tagged,Blue
12,10,366,33,not_tagged,Purple
12,11,366,7,not_tagged,Green
12,12,367,14,not_tagged,Yellow
12,13,367,7,tagged,Blue
12,14,367,3,tagged,Purple
12,15,368,15,tagged,Green
12,16,368,2,tagged,Yellow
12,17,369,14,tagged,Blue
12,18,369,43,tagged,Purple
12,19,370,24,tagged,Green
12,20,371,11,tagged,Yellow
12,21,371,33,tagged,Blue
12,22,372,86,tagged,Purple
12,23,372,28,tagged,Green
12,24,373,22,tagged,Yellow
12,25,373,34,tagged,Blue
12,26,374,24,tagged,Purple
12,27,374,33,tagged,Green
12,28,375,9,tagged,Yellow
12,29,375,3,tagged,Blue
12,30,376,19,tagged,Purple
12,31,376,23,tagged,Green
12,32,376,24,tagged,Yellow
12,33,376,40,tagged,Blue
12,34,376,6,tagged,Purple
12,35,376,14,tagged,Green
12,36,376,19,tagged,Yellow
12,37,376,31,tagged,Blue
12,38,377,12,tagged,Purple
12,39,377,53,tagged,Green
12,40,377,9,tagged,Yellow
13,1,360,6,tagged,Yellow
13,2,363,21,tagged,Green
13,3,365,6,tagged,Purple
13,4,367,4,tagged,Blue
13,5,369,5,tagged,Yellow
13,6,371,2,tagged,Green
13,7,373,14,tagged,Purple
13,8,376,16,tagged,Blue
13,9,378,7,tagged,Yellow
13,10,381,6,tagged,Green
13,11,384,4,tagged,Purple
13,12,387,21,tagged,Blue
