Treatment,Size_category,median,lci_median,uci_median,mean,lci_mean,uci_mean
Control,All sizes combined,27.5,22,32,30.68235294117647,27.264742990183766,33.81362924706474
8.9 cm,All sizes combined,21,17,23,21.2,18.7805069539095,23.623995547060304
9.5 cm,All sizes combined,13.5,12,15.339936916687607,17.16470588235294,15.464025233324959,19.02869400784708
10.2 cm,All sizes combined,13,11,14,14.676470588235293,12.925664128425709,16.52069549216031
10.2 cm,Sablefish < 63 cm,7.5,6,9,10.065217391304348,8.301458177323,11.481070487894481
10.2 cm,Sablefish ≥ 63 cm,3,2,4,4.253623188405797,3.5980439233589037,5.158113271440782
9.5 cm,Sablefish < 63 cm,9,7,11,11.62589928057554,9.946393044779688,13.469383983323704
9.5 cm,Sablefish ≥ 63 cm,3,2,4,4.561151079136691,3.6914368823372326,5.415687386404672
8.9 cm,Sablefish < 63 cm,12,10,17,15.301470588235293,13.466764766894448,17.227939651168207
8.9 cm,Sablefish ≥ 63 cm,3,2.5,5,5.463235294117647,4.497060043771317,6.4523528801643755
Control,Sablefish < 63 cm,18,14,24,23.258992805755394,19.848086642137147,26.504431343474362
Control,Sablefish ≥ 63 cm,4,3,5,5.942446043165468,5.069529424225273,6.831374772809344
