Treatment,length_bin,mean,median,q025,q975
8.9 cm,51,0.30727851454827737,0.30680435305945697,0.2660630954143691,0.3487415869292919
8.9 cm,52,0.33147166048030646,0.3313115696539626,0.29295968766217817,0.36880511307536523
8.9 cm,53,0.3543035679577709,0.3544142489742266,0.3190231451398183,0.3881599848231767
8.9 cm,54,0.37545457966550666,0.3757323786049672,0.34293971440256255,0.40683744390144194
8.9 cm,55,0.3947147726886765,0.3949555017148403,0.36437137517429385,0.423549985430345
8.9 cm,56,0.4119821170454928,0.4120567224498617,0.38370615935462593,0.4389836213426773
8.9 cm,57,0.42724959500802046,0.42716096105126655,0.400545604315531,0.453109701424712
8.9 cm,58,0.44058580149931376,0.4405369640283746,0.4156418848316499,0.4652723851458296
8.9 cm,59,0.4521134173068119,0.45218878643828286,0.4283157911274472,0.4763359037046093
8.9 cm,60,0.46198888794297693,0.4618591669208164,0.4388847580040766,0.4851194598638225
8.9 cm,61,0.4703852863991614,0.47020497922751603,0.44801220102404465,0.49287931805383917
8.9 cm,62,0.47747913956186466,0.4772960385636465,0.4559042628808134,0.49920043538668235
8.9 cm,63,0.4834411571091106,0.48330787349102267,0.4623997659826478,0.504169954173274
8.9 cm,64,0.4884303307635224,0.4882944422564478,0.46795709363051136,0.5086140123110152
8.9 cm,65,0.492590688619734,0.4924660478966464,0.472962334604371,0.5121300157728108
8.9 cm,66,0.49604998945630985,0.4959644919265851,0.4770004738503395,0.5150253452671512
8.9 cm,67,0.49891973693888675,0.49887745862992405,0.4804234354175421,0.5173669727372119
8.9 cm,68,0.5012960225897826,0.501235112532384,0.48325711076929423,0.5192080245575758
8.9 cm,69,0.5032608340826822,0.5032109531000066,0.4855677372759552,0.5207393916628961
8.9 cm,70,0.5048835751163877,0.5048800706930007,0.487602528839886,0.5220285477289653
8.9 cm,71,0.5062226295937631,0.5062588666476782,0.48930040084925164,0.5231374649423529
8.9 cm,72,0.5073268669384039,0.5074174149685531,0.49070874658055086,0.523939928488581
8.9 cm,73,0.5082370306058633,0.508312422294372,0.49179564355146527,0.5246245649712289
8.9 cm,74,0.5089869823360924,0.5090717619439548,0.49269758033946937,0.5250466251908616
8.9 cm,75,0.5096047942994577,0.509688520847231,0.49347801919578566,0.525512251679516
8.9 cm,76,0.5101136931920185,0.5102269903032998,0.49407778464382374,0.5259457275595729
