Treatment,length_bin,mean,median,q025,q975
8.9 cm,10,2.813331380431072e-4,1.9783517081402652e-4,2.3074374497910025e-5,0.0010679302028584717
8.9 cm,11,3.385874572318222e-4,2.4200637660549214e-4,2.9570308621496753e-5,0.0012593437660093157
8.9 cm,12,4.07614512996095e-4,2.9521300160513064e-4,3.7912613168106606e-5,0.0014865221862944704
8.9 cm,13,4.908589766800364e-4,3.605844456999861e-4,4.8609465527948786e-5,0.0017548742034090385
8.9 cm,14,5.912776225666733e-4,4.398493479286006e-4,6.232947634019897e-5,0.0020716727892857415
8.9 cm,15,7.124472828365291e-4,5.377483295546993e-4,7.987576628989703e-5,0.002445571178817579
8.9 cm,16,8.586955868499263e-4,6.566607688543748e-4,1.0204775426334892e-4,0.002894340212407771
8.9 cm,17,0.0010352592453419535,8.019178423099575e-4,1.303669719607022e-4,0.003410073182635376
8.9 cm,18,0.001248475599656857,9.80350907895736e-4,1.6655519882601943e-4,0.004020309303178592
8.9 cm,19,0.0015060142897703223,0.0011977463854267445,2.1321910982535105e-4,0.004740110076800106
8.9 cm,20,0.0018171572240598813,0.0014637730497920015,2.7352258194075047e-4,0.005575638829458218
8.9 cm,21,0.002193136577121356,0.0017862852270633467,3.5122260909210693e-4,0.006561819470042638
8.9 cm,22,0.002647542310834473,0.002183551570140066,4.5110587622364105e-4,0.0077185924967011765
8.9 cm,23,0.003196812706167787,0.0026724723988792234,5.756499363762218e-4,0.009077249542115591
8.9 cm,24,0.0038608235829967843,0.0032622278333380795,7.372772473502908e-4,0.010693200746146141
8.9 cm,25,0.004663594207717083,0.003984193948563879,9.464845295079035e-4,0.012605850535931825
8.9 cm,26,0.005634130217550569,0.00485822234913246,0.0012158719382537508,0.014839434846562076
8.9 cm,27,0.006807426006125719,0.005941246941579258,0.0015603462343733079,0.01743844781603694
8.9 cm,28,0.00822565055686526,0.007256090102565889,0.0019949596389039087,0.020501420717247372
8.9 cm,29,0.009939541113948671,0.00886219866408797,0.0025601467604135686,0.02416682644440087
8.9 cm,30,0.012010027488295641,0.010793477618643466,0.003280243820348077,0.028496657418580207
8.9 cm,31,0.014510104945666114,0.013147406133482933,0.004181161161083327,0.033396717660533204
8.9 cm,32,0.017526963706270954,0.01602517827749119,0.005351031433352638,0.039203570695671944
8.9 cm,33,0.02116436558211712,0.019519196303944046,0.006826468743868981,0.046196884369886636
8.9 cm,34,0.025545229802240683,0.023708966447745866,0.008710858170814828,0.05388938265566942
8.9 cm,35,0.030814346262035806,0.028784854262195965,0.011160570353758724,0.06288112189505156
8.9 cm,36,0.03714106998263237,0.03494393268996879,0.014261183695941752,0.07333679699483148
8.9 cm,37,0.0447217596219561,0.04231957541200055,0.018212940115496595,0.08563212089482763
8.9 cm,38,0.053781600017132385,0.05133668330997898,0.0232072767864333,0.10004424504961133
8.9 cm,39,0.06457529100900683,0.062005446286579016,0.02956565511118753,0.11604793947662366
8.9 cm,40,0.07738589536786268,0.07465395830591268,0.037347603990431806,0.134455248863406
8.9 cm,41,0.09252093257667886,0.0899288937225717,0.04707900431523992,0.15552805700183725
8.9 cm,42,0.11030461767818543,0.10756703626143616,0.059160569146426575,0.1791027412877115
8.9 cm,43,0.13106504024548105,0.1283828676958933,0.07409794579856323,0.20484800897489205
8.9 cm,44,0.15511516043902174,0.15275089493673077,0.09232524188865104,0.233687568585152
8.9 cm,45,0.18272690669544808,0.1806553156060457,0.11454973505861833,0.26527383112996444
8.9 cm,46,0.21409854781711746,0.2122119575866645,0.14124593768206686,0.3003197226359001
8.9 cm,47,0.2493169936204148,0.24757516919898948,0.17265171900579124,0.33641937519647425
8.9 cm,48,0.2883187194756071,0.2869327991979609,0.209107805308442,0.3750854949026666
8.9 cm,49,0.3308552976774887,0.32996150104461586,0.24996326393457735,0.41670347084567155
8.9 cm,50,0.3764713593753487,0.37587595628862824,0.2956871765540211,0.4605358625377002
8.9 cm,51,0.42450318816930765,0.4242281484188859,0.3452248518717137,0.5053276276031635
8.9 cm,52,0.4741040622231129,0.47416254544079284,0.3966247317854335,0.5513617572417551
8.9 cm,53,0.5242975619033914,0.524648550196302,0.4502644443797094,0.596272019555863
8.9 cm,54,0.5740532596700129,0.5746715070174532,0.5043669603821636,0.6409347475731727
8.9 cm,55,0.6223727694269152,0.6228108665212573,0.5560054864678496,0.6864577101805902
8.9 cm,56,0.6683707732577183,0.6688547853938765,0.6053163240416229,0.7295867353186734
8.9 cm,57,0.7113369957215707,0.7115244813225499,0.6515096501884697,0.7695956874755319
8.9 cm,58,0.7507706061608697,0.7507413118420709,0.694013324958444,0.8062523134527684
8.9 cm,59,0.7863857782605599,0.7863857574654682,0.7328969337087577,0.8386139294018716
