effort_no,start_lat,start_lon,end_lat,end_lon
1,58.368500000000004,-135.005583,58.334283,-135.002817
2,58.245383,-134.990833,58.212717,-134.9771
3,57.903133,-134.836483,57.868382999999994,-134.833167
4,57.76455,-134.87215,57.795500000000004,-134.8759
5,57.475683,-134.706767,57.44405,-134.723983
6,57.43205,-134.68568299999998,57.40085,-134.70024999999998
7,57.217366999999996,-134.74054999999998,57.189467,-134.724917
8,57.161300000000004,-134.756283,57.194100000000006,-134.766483
9,57.10395,-134.70575,57.139500000000005,-134.725933
10,57.02755,-134.70544999999998,57.057866999999995,-134.711317
11,56.960117,-134.697,56.9258,-134.69261699999998
12,56.38755,-134.604217,56.861816999999995,-134.58225
13,56.741282999999996,-134.525567,56.706817,-134.53206699999998
14,56.550283,-134.5454,56.514983,-134.55605
15,56.460716999999995,-134.60091699999998,56.426432999999996,-134.602633
16,56.408649999999994,-134.502717,56.379683,-134.47815
17,56.64895,-134.5289,56.618700000000004,-134.55525
